id,trans
filename,scene_ult_chr126_q4_7_s10
info,scene_ult_chr126_q4_7_s10
11,那就只能由汝亲自去守护，<br>让我见识一番吧。
10,确实是这样。<br>……但是即便如此，我也想<br>守护美好之物、重要之物。
9,世间混沌。<br>无论美妙与丑陋<br>鱼龙混杂不分彼此。
8,……确实。<br>见过许多了。<br>有丑陋的……有美妙的。
7,世间万物瞬息万变。<br>汝也见过不少了吧。
6,当然了<br>最强的名号所带来的危险性<br>也需要好好了解。
5,压倒性的力量……最强的名号<br>能够再争端发生之前<br>就将其制止。
4,但是那时候就没意义了。<br>当争端发生之时<br>就已经无法避免有人会受伤了。
3,必须将争端防患于未然。<br>至于是强还是弱<br>那就是发生争端之后的问题了。
2,镇压争端的力量吗。
1,什么是最强，吗……<br>对我来说是，希望能得到<br>制止不必要争端的力量，了吧。
0,<span class='scene-font-katari'>奥克托</span><br><span class='scene-font-katari'>向十天众之一的乌诺</span><br><span class='scene-font-katari'>询问了最强的含义。</span>
0-synopsis,为了询问「最强」的含义，奥克托寻找十天众切磋，自然也找上了乌诺。乌诺回答「所谓最强，就是将无用的争端防范于未然的力量」，奥克托则提出异议。然而乌诺还是主张「想要守护美好、重要之物」，奥克托则说「那就需要汝亲自去守护了」，向乌诺提出对决。
0-chapter_name,试问，汝之最强
