id,trans
filename,scene_evt200729_trust2
translator,Van
info,scene_evt200729_trust2
34,<span class='scene-font-spword'>梅格的信赖度上升了100！！</span>
32,虽然迄今为止发生的事要全部讲完的话会花很长时间，<br>但我希望姬塔你能听一听呢。
31,就一直持续着那种事，<br>实际上那个时候存的旅费<br>现在还剩了很多呢……
30,不过，又发生了各种各样的事<br>比如旅馆的住宿泡汤了啊，<br>或者是又得到了票什么的……
29,诶？ 嗯，是啊。<br>我就是在那家咖啡厅打工赚的旅费的。
28,我懂的～……<br>我也有在老家的咖啡厅打工过，<br>知道是有多辛苦呢～……
27,<span class='scene-font-4'>没错吧！</span>
25,<span class='scene-font-spword'>梅格的信赖度上升了50！！</span>
23,但是没想到你竟然会感觉那么轻松。<br>不愧是你啊，姬塔。
22,我在老家的咖啡厅打工的时候就想着，<br>海之家的话肯定也很辛苦吧。
21,是我的话就会很想去玩<br>定不下心来呢……
20,真的吗！？<br>那还真厉害啊。
18,<span class='scene-font-spword'>梅格的信赖度上升了75！！</span>
16,对哦……说的也对。<br>本来<span class='scene-font-place'>奥古斯提</span>就是想去就去的嘛。
15,诶？ 你说现在去体验不就好了？
14,唉……<br>我也想体验一次那种夏天啊……
13,还真是悠悠哉哉的，感觉不错呢。
12,休息时间的话就可以去玩<br>其余之间的话就是工作……类似这样的感觉？
11,所以是挑了个好地方啊！
9-sel3_txt,<span class='scene-font-katari'>很辛苦</span>
9-sel2_txt,<span class='scene-font-katari'>很轻松！</span>
9-sel1_txt,<span class='scene-font-katari'>一边玩，一边工作</span>
9,那个，跟我讲讲吧？<br>在<span class='scene-font-place'>奥古斯提</span>工作是种什么样的体验？
8,所以，我就有了个念想……<br>要在<span class='scene-font-place'>奥古斯提</span>工作的想法<br>之前完全还没有过呢～
7,啊哈哈！<br>还有这种事啊～<br>
6,啊……不好意思……
5,是在海之家帮忙呢。<br>我明明是点了饭后的饮料，露莉亚却上错了成了吃的……
4,我们那时候正在干啥来着……
3,诶！？<br>这样吗！？
2,实际上，在那时，遇到了露莉亚和阿碧呢。
1,我在第二次来的时候，<br>去榭洛小姐的海之家那作客了。
0-chapter_name,海边的工作
