id,trans
filename,scene_ult_chr095_ep1_q2_s10
translator,myu
info,scene_ult_chr095_ep1_q2_s10
21,嗯！　交给我们吧！<br>上啊、姬塔！
20,差不多要出发去<br>讨伐怪物了吧！
19,啊……不，没什么。
18,兰斯洛特先生？<br>怎么了吗？
17,<span class='scene-font-kokoro'>（居然会到对殿下的统治</span><br><span class='scene-font-kokoro'>产生疑问的地步……）</span>
16,<span class='scene-font-kokoro'>（居然……！</span><br><span class='scene-font-kokoro'>虽然我知道大家</span><br><span class='scene-font-kokoro'>心里不安……）</span>
15,…………！
14,别人都说他哥哥做的比较好<br>以前还好现在就……
13,虽然他以前就以性格很好有名、<br>到那时作为国王如何<br>就不知道了……
12,……因为本来卡尔王就是<br>因为先代的王逝世后才<br>突然继任的……
11,就像是还要发生什么一样、<br>我们十分不安……
10,……虽然能够依靠骑士们，<br>但自从卡尔王继任后<br>这已经是第二次的事件了……
9,<span class='scene-font-katari'>这时，他听到了</span><br><span class='scene-font-katari'>村里人的谈话。</span>
8,<span class='scene-font-katari'>兰斯洛特重新整理心情</span><br><span class='scene-font-katari'>去讨伐怪物。</span>
7,为了不辜负他们的期待，<br>我们必须尽力而为。
6,所以才这样期待我们，<br>像这样优待我们……
5,因为是比较小的村子。<br>没有能够扫清<br>周围的怪物的战力。
4,这么说，<br>我们和骑士团<br>真是有人气啊！
3,<span class='scene-font-katari'>村里的人们</span><br><span class='scene-font-katari'>开心地迎接了</span><br><span class='scene-font-katari'>姬塔和兰斯洛特。</span>
2,和他们在一起的也是<br>拯救这个国家的骑空士！
1,啊！　那就是白龙骑士团……！<br>守护这个国家的<br>骑士大人啊……！
0,<span class='scene-font-katari'>姬塔一行和白龙骑士团</span><br><span class='scene-font-katari'>为了讨伐魔物</span><br><span class='scene-font-katari'>来到了一个小小的村庄。</span>
0-synopsis,姬塔一行和白龙骑士团的人们一同去消灭怪物，到达了一个小小的村庄。村里人因为救国的英雄姬塔一行和兰斯洛特的到达而沸腾，在这些人之中，兰斯洛特听到了有人对卡尔王统治的不安。
0-chapter_name,救国骑士的迷茫
