id,en,jp,trans
0-chapter_name,,第2章　操舵士の決意,第2章  操舵士的决意
0-synopsis,,大量に襲い来る魔物によって、<span>姬塔</span>一行は思うように前に進めずにいた。街の外の危険さを改めて知り、<span>姬塔</span>一行は必ず帝国を止めようと決意する。,由于魔兽大量袭来，<span>姬塔</span>一行难以顺利前行。深感城外的危险，众人下定决心一定要阻止帝国。
0,,"くそー……<br>
いくら街が見える距離でも、<br>
こうも魔物が多くっちゃな……",可恶……就算城镇近在眼前，魔兽这么多，根本靠近不了。
1,,"瘴流域によって魔物が狂暴化した<br>
という記録は残っているが……",有记录显示魔兽会因瘴流域而变得狂暴……
2,,"近年になって、<br>
魔物の数が増えている理由については、<br>
帝国も原因は掴んでいなかったな。",但是近年来魔兽数量急剧增长，帝国也没有锁定原因。
3,,"街の外はもう、<br>
危険地帯ってわけか……",城外已经，算是危险地带了吗……
4,,"この街の人達は、<br>
私達がシェロさんのお店で困っていたら<br>
親切にしてくれたよね……",我们在榭洛小姐的店里发愁时，这里的人都亲切地帮助了我们……
5,,"ああ……恩は返さねばな。<br>
姬塔、必ず帝国を止めよう。<br>
それこそが、私達のすべき恩返しだ。",没错……我们要报恩才行。姬塔，绝对要阻止帝国。这就是我们的回报。
info,,1,scene_cp2_q2_s20
备注,,,ver-1: @煌月夜 2018/4/2
