id,en,jp,trans
0-chapter_name,,ジェミニ?大河編,杰米妮·大河篇
0-synopsis,,新次郎とジェミニの活躍により降魔退治は順調に進んでいくが、浮かない顔をする新次郎を心配するラカム。新次郎は故郷を思い憂いていた。新次郎達が元の世界に帰れるよう探ってくれるというラカムの優しい言葉に信頼を寄せると共に、新次郎は姬塔一行を「守ってみせる」と静かに決意を固めるのだった。,因为新次郎与杰米妮的活跃降魔得以顺利消灭，但是拉卡姆看到新次郎仍然愁眉紧锁，十分担心。原来新次郎是在担忧自己的故乡。拉卡姆表示将会与他们一起寻找回到原来世界的方法，新次郎对这温柔的话语寄予信赖，并且默默地坚定了保护姬塔一行人的决意。
0,,おう、お疲れシンジロー！<br>ジェミニも大活躍だったな！,喔！新次郎辛苦了！<br>杰米妮也是大活跃啊！
1,,えへへ……新次郎のおかげだよ！<br>ボク、新次郎が隊長だから<br>力が発揮できるんだ！,诶嘿嘿……这多亏了新次郎啊！<br>因为新次郎是队长，<br>我才能发挥出力量！
2,,なるほどな。<br>ウチの姬塔も中々のもんだが、<br>シンジローも負けてねえってわけか。,原来如此。<br>我们的姬塔虽然身手非凡，<br>新次郎也不赖嘛。
3,,…………,…………
4,,ん？　どうした？<br>浮かない顔してよ。,嗯？怎么了？<br>一副闷闷不乐的样子。
5,,あ……いえ、ぼく達がいた<br>帝都の事を考えていて……,啊……没有，<br>我只是在想我们帝都的事情……
6,,ああ……気になるか？<br>そっちでも降魔が<br>暴れてたんだろ？,噢噢……很在意吗？<br>降魔也在那边四处破坏吧？
7,,はい。<br>ただ、こちらに来ている降魔が<br>尋常ではない数なので……,是的。<br>我看到这边来的降魔的数量非同寻常……
8,,きっと帝都にいた降魔が<br>こちらに流れてきているのではないかと<br>思うんですが……,在想是不是帝都的降魔<br>都流向这边来了……
9,,……お前の故郷、無事だといいな。,……希望你的故乡没事。
10,,なあ、ところでどんな場所なんだ？<br>お前達のいたトーキョーってのは。,话说，那里是什么样的地方啊？<br>你们说的那个叫东京的。
11,,ええと、蒸気機関で発展した都市で……<br>季節の移り変わりがすごくはっきりした<br>場所です。,那里是靠蒸汽机器而发展都市……<br>季节交替十分明显的地方。
12,,春には桜が咲き、夏にはセミが鳴いて、<br>秋には紅葉、冬には雪が降る……<br>そんな場所です。,春季樱花盛开，夏季蝉儿鸣叫，<br>秋季红叶满山，冬季大雪纷飞……<br>就是这样的一个地方。
13,,で、桜が咲くと<br>みんなでお花見するんだよね！<br>いいな、花見で一杯、憧れるなあ！,那么樱花如果开了的话，<br>大家都会一起赏花的吧！<br>真好啊，赏着花来一杯，真憧憬啊！
14,,へえ、花見、ねえ……<br>昼間っから飲んだくれるのも<br>悪くねえな。,赏花，吗……<br>白天就开始喝酒<br>听起来也不赖。
15,,ま、聞いた限りじゃ<br>いい場所みてえじゃねえか。,听你这么讲<br>那里真是个好地方啊。
16,,降魔退治で世話になった分、<br>お前らがちゃんと帰れるように<br>こっちも色々探ってみねえとな。,你们也帮我们击退了降魔，<br>我们这边也得帮你们好好找找<br>让你们回去的方法啊。
17,,……ラカムさん、姬塔さん……,……拉卡姆先生，姬塔……
18,,<span class='scene-font-kokoro'>（出会ったばかりのぼくに</span><br><span class='scene-font-kokoro'>親切にしてくれるこの人達を……</span><br><span class='scene-font-kokoro'>きっとぼくは、守ってみせる！）</span>,<span class='scene-font-kokoro'>（对素昧平生的我也这么亲切…</span><br><span class='scene-font-kokoro'>我一定要守护这些人！)</span><br><span class='scene-font-kokoro'></span>
19,,ん？　どうしたシンジロー？<br>気になる事でもあったか？,嗯？怎么了新次郎？<br>有什么在意的事情吗？
20,,あ、はい！<br>粉骨砕身の覚悟で頑張ります！,啊、是的！<br>我会以粉身碎骨的觉悟努力！
21,,……はぁ？,……哈？
22,,あ……す、すみません。<br>ちょっと考え事を……,啊……对、对不起。<br>刚在想一些事情……
23,,はっはっはっは！<br>ウチはそんな堅苦しい所じゃねえよ。<br>肩の力抜け、な！,哈哈哈哈！<br>我们这里不是那么严肃的地方啦。<br>放轻松一点，好吗！
24,,<span class='scene-font-katari'>降魔との戦いを通して</span><br><span class='scene-font-katari'>信頼関係を築きつつある</span><br><span class='scene-font-katari'>姬塔らと新次郎、ジェミニ。</span>,<span class='scene-font-katari'>通过对降魔的战斗</span><br><span class='scene-font-katari'>姬塔一行人与杰米妮、新次郎构筑起了信赖关系。</span><br><span class='scene-font-katari'></span>
25,,<span class='scene-font-katari'>新次郎達にとっても、</span><br><span class='scene-font-katari'>一行は大切な存在と</span><br><span class='scene-font-katari'>なっていくのであった。</span>,<span class='scene-font-katari'>对新次郎来说，</span><br><span class='scene-font-katari'>他们渐渐成为了自己重要的人们。</span><br><span class='scene-font-katari'></span>
26,,<span class='scene-font-katari'>しかし、その絆が</span><br><span class='scene-font-katari'>新次郎を思わぬ苦境に</span><br><span class='scene-font-katari'>立たせる事になる──</span>,<span class='scene-font-katari'>但是，这种关系</span><br><span class='scene-font-katari'>在之后却陷入了新次郎无法想到的苦境——</span><br><span class='scene-font-katari'></span>
info,,1,scene_evt160506_cp3_q1_s30
