text,trans
矮小なる空の民よ。<br>その身に万病を与えよう。,矮小的空之民。<br>吾将给予汝身万般疫病。
,
星の民アッハーズを撃退せよ！,击退星之民亚哈祖！
矮小、矮小って、<br>どんだけ人を馬鹿にすりゃあ<br>気が済むんだ……？,满嘴矮小、矮小的，<br>你要瞧不起人到什么地步<br>才肯罢休……？
いいか、よく覚えておきやがれ。<br>俺は！　大男のダリダラだッ！！,听好了，你给我记住。<br>我是！大丈夫达里达拉！！
その意気やよし。<br>されど気概だけでは<br>我が疫災は防げぬ。,气势不错。<br>但光凭气势可抵挡不了吾之疫灾。
疫拳・穿,疫拳·穿
うっ……なんだこれ、<br>毒か……！？,唔……这是什么，<br>毒……！？
手に毒を含ませてやがるのか……！<br>こりゃ長引かせるとマズいな。,他手上有毒……！<br>持久战对我们不利。
拳で殴る度に、<br>毒をバラまいてんのか！？<br>冗談じゃねぇ、畳みかけるぞ！,每次挥拳都会释放毒素！？<br>开什么玩笑，一口气解决他！
今だ、姬塔！,趁现在，姬塔！
不覚……<br>卑賎なる空の民に<br>善戦を許すとは……,大意了……<br>卑贱的空之民中<br>竟有如此善战之人……
よかろう。<br>我が二つ名『疫拳』、<br>その身を以て知るが良い！,好啊。<br>吾之头衔“疫拳”，<br>汝等就亲身体会一下吧!
疫壊双掌,疫坏双掌
ぐっ……！<br>なんつう威力だ。<br>いよいよマズイな、これは……,唔……！<br>好惊人的威力。<br>这下情况越来越糟了……
麻痺性の神経毒か……！<br>くそ、動けねぇ……！,是麻痹性的神经毒素……！<br>可恶，动不了了……！
姬塔は麻痺していて動けない！,姬塔因麻痹而无法行动！
バトルログ,战斗日志
ラカムは麻痺していて動けない！,拉卡姆因麻痹而无法行动！
ダリダラは麻痺していて動けない！,达里达拉因麻痹而无法行动！
良き手合であった。<br>この拳を以て、<br>死出の旅路を奉ろう……！,真是一场不错的比试。<br>就以此拳，<br>送你们踏上黄泉路……！
アッハーズの凶手が迫り来る……！,亚哈祖的杀招正在逼近……！
新手か……<br>そこな者達同様、<br>我が修練の糧となってもらおう。,援兵吗……<br>汝也会和他们一样，<br>成为我修炼的食粮。
私の眼前で、この子を殺せるとは<br>思わないことだ、星の民。,有我在，你就别想<br>杀了这些孩子，星之民。
アンタは……！<br>さすがだな！　助かったぜ！,你是……！<br>厉害啊！得救了！
気を緩めるにはまだ早い。<br>ここから体勢を立て直さねば。,要放松还太早。<br>从现在起要重整态势。
君たち、まだ動けるな？,你们还能动吧？
ああ、まだ少し痺れてるけどな。<br>ヤツの頭をカチ割るには十分だ。,当然。虽然身体还有点麻，<br>但要砸碎那家伙的脑壳还是绰绰有余。
よし、ならば反撃と行こう。,好，开始反击吧。
疫拳・咬,疫拳·咬
疫災に抗おうと言うのか。,是要反抗疫灾吗。
さすれば、今一度、<br>我が『疫拳』を受けるが良い……！,那么就再度接下<br>吾之“疫拳”吧……！
同じ手を二度も食うかよ！<br>合わせろ、ダリダラ！,同样的招数还能让你中两次吗！<br>我们联手，达里达拉！
仲間を救うため、ダリダラとラカムは<br>全身から力を絞りだす……！,为了拯救同伴，<br>达里达拉使出浑身解数……！
猛攻を受け、アッハーズは体勢を崩している……！,受到猛攻的亚哈祖失去了平衡……！
ぐ、ぬ……,咕、呜……
今だ、叩き込め！,趁现在，发动进攻！
好機！<br>共に行こう、姬塔！,好机会！<br>一起上吧，姬塔！
絶好の好機を逃さぬよう、<br>姬塔とヴァルフリートは剣を構える……！,姬塔和瓦尔弗利德抓住这个绝佳的机会，<br>一齐举起了利剑……！
