id,name,text,trans
0-chapter_name,,第1話 甦る鋼の戦士,第1话 苏醒的钢之战士
0-synopsis,,街を襲う謎の魔物は、古代において「壊獣」と呼ばれていた、人の天敵であると告げるロボミ。それらが有するシールド様の力場は、通常の武器を弾いてしまうが、ロボミの力を使えばそれを無効化できるという。街に平和を取り戻すため、姬塔達はロボミと共に壊獣達へと戦いを挑む。,袭击街道的迷之魔物，萝伯美说这是在古代叫做“坏兽”的生物，是人类的天敌。它们虽然有防护罩，能将普通武器弹开，但萝伯美有能让防护罩无效化的手段。为了让街道恢复和平，姬塔和萝伯美等人一起向坏兽发起挑战。
0,ビィ/碧,スッゲェや！\nこのロボミって奴、\nメチャクチャ強ぇじゃねえか！,太厉害了！\n萝伯美这家伙\n这不超强的吗！
1,ルリア/露莉亚,すごいです……\nあっと言う間に倒しちゃいました……,好厉害……\n一下子就把他们全打倒了……
2,シロウ/士郎,ロボミ、お前さっき\n壊獣と戦うために作られたって\n言ってたが……,萝伯美，你刚才说是为了跟坏兽战斗才被造出来的是吧
3,シロウ/士郎,あの壊獣達も、何万年も前……\nお前の作られた時代に\nいた連中なのか？,那些坏兽们，也是在几万年前……\n在你出生的时代就已经存在的家伙吗？
4,ロボミ/萝伯美,そうです、シロウ。,是的，士郎。
5,シロウ/士郎,なるほど……\nそんな連中がどうして今出てきたのか\n知りたい所だが……,原来如此……\n真想知道为什么这样的东西现在会出现……
6,シロウ/士郎,まずはこの状況をなんとかしないとな。\nロボミがいれば希望がある。,首先得解决现在的状况。\n有萝伯美在就有希望。
7,シロウ/士郎,さっき戦ってわかった事だが、\nロボミがシールドさえ破壊すれば\nあとは俺達でもなんとかできる。,从刚才的战斗中明白了一件事，\n只要萝伯美把防护罩破坏掉的话，\n我们也能做点什么。
8,シロウ/士郎,ロボミ、お前は壊獣のシールドを\n破壊する事に専念してくれ！,萝伯美，麻烦你专心破坏坏兽的防护罩吧！
9,ロボミ/萝伯美,了解しました、シロウ。,了解，士郎。
info,,,scene_evt150630_cp1_q4_s10
译者,,,卡纸
